timestamp (UTC),timestamp (America/New_York),weekday (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return
2024-09-10 14:00:00+00:00,2024-09-10 10:00:00,Tuesday,106.99,107.8,105.96,106.8701,49711043.0,0.0,
2024-09-10 15:00:00+00:00,2024-09-10 11:00:00,Tuesday,106.87,107.44,105.25,105.28,33803926.0,-0.014878810817993027,-0.014990610675651439
2024-09-10 16:00:00+00:00,2024-09-10 12:00:00,Tuesday,105.285,106.25,104.95,105.8109,29752958.0,-0.009911097678396374,0.005030071115194268
2024-09-10 17:00:00+00:00,2024-09-10 13:00:00,Tuesday,105.8101,106.72,105.76,106.545,21229582.0,-0.0030420108149986635,0.006913892425681745
2024-09-10 18:00:00+00:00,2024-09-10 14:00:00,Tuesday,106.55,107.58,106.55,107.134,23691604.0,0.0024693529808619274,0.005512956273415526
2024-09-10 19:00:00+00:00,2024-09-10 15:00:00,Tuesday,107.13,108.18,107.03,108.02,29921287.0,0.010759791560034149,0.008236007773446019
2024-09-10 20:00:00+00:00,2024-09-10 16:00:00,Tuesday,108.03,108.14,106.894,107.81,6484379.0,0.008794789187995589,-0.0019459766137179813
2024-09-11 14:00:00+00:00,2024-09-11 10:00:00,Wednesday,110.27,110.48,107.42,108.575,62889694.0,0.015953012114707565,0.007070759869859167
2024-09-11 15:00:00+00:00,2024-09-11 11:00:00,Wednesday,108.56,111.26,108.2,111.17,48154738.0,0.04023482714061277,0.023619382824637825
2024-09-11 16:00:00+00:00,2024-09-11 12:00:00,Wednesday,111.17,112.88,111.01,112.075,54975497.0,0.04870305164868394,0.008107728795979874
2024-09-11 17:00:00+00:00,2024-09-11 13:00:00,Wednesday,112.08,114.4,112.04,114.2808,51688203.0,0.06934306227841103,0.019490287646584115
2024-09-11 18:00:00+00:00,2024-09-11 14:00:00,Wednesday,114.28,115.5,114.21,115.105,50339392.0,0.07705522873095472,0.007186177582772402
2024-09-11 19:00:00+00:00,2024-09-11 15:00:00,Wednesday,115.105,117.19,114.76,116.85,64922379.0,0.09338346272718012,0.015046305714006891
2024-09-11 20:00:00+00:00,2024-09-11 16:00:00,Wednesday,116.8,117.2,116.55,116.75,5540958.0,0.09244774731192362,-0.0008561644358602294
2024-09-12 14:00:00+00:00,2024-09-12 10:00:00,Thursday,118.26,120.24,117.79,118.625,78045730.0,0.10999241134798243,0.015932360381085253
2024-09-12 15:00:00+00:00,2024-09-12 11:00:00,Thursday,118.64,119.7899,117.77,118.148,45907013.0,0.10552904881720893,-0.004029181074812094
2024-09-12 16:00:00+00:00,2024-09-12 12:00:00,Thursday,118.14,119.4399,118.1,119.436,30866480.0,0.11758106336571239,0.010842587196647102
2024-09-12 17:00:00+00:00,2024-09-12 13:00:00,Thursday,119.43,120.79,119.11,120.645,38487594.0,0.12889386273616288,0.010071685972214972
2024-09-12 18:00:00+00:00,2024-09-12 14:00:00,Thursday,120.646,120.74,119.1,120.3201,36546659.0,0.12585372335199474,-0.0026966577059361896
2024-09-12 19:00:00+00:00,2024-09-12 15:00:00,Thursday,120.325,120.49,119.02,119.18,40863947.0,0.11518563190265585,-0.009520735999372754
2024-09-12 20:00:00+00:00,2024-09-12 16:00:00,Thursday,119.14,119.26,118.1,118.71,3513866.0,0.11078776945095026,-0.003951411253390269
