timestamp (UTC),timestamp (America/New_York),weekday (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return
2024-10-02 14:00:00+00:00,2024-10-02 10:00:00,Wednesday,117.13,118.75,117.05,118.005,39836191.0,0.0,
2024-10-02 15:00:00+00:00,2024-10-02 11:00:00,Wednesday,118.005,119.29,117.95,118.8801,27668477.0,0.0074157874666327395,0.007388425704166757
2024-10-02 16:00:00+00:00,2024-10-02 12:00:00,Wednesday,118.89,119.13,117.93,117.955,20654887.0,-0.0004237108597092698,-0.007812226354687368
2024-10-02 17:00:00+00:00,2024-10-02 13:00:00,Wednesday,117.96,118.5809,117.76,118.5699,17623726.0,0.004787085292996096,0.005199464287173328
2024-10-02 18:00:00+00:00,2024-10-02 14:00:00,Wednesday,118.5699,118.89,118.33,118.7707,17007979.0,0.006488708105588881,0.0016920834270237606
2024-10-02 19:00:00+00:00,2024-10-02 15:00:00,Wednesday,118.775,119.38,118.6099,118.8399,25905380.0,0.0070751239354265305,0.0005824656135411388
2024-10-02 20:00:00+00:00,2024-10-02 16:00:00,Wednesday,118.85,120.8257,118.79,120.58,9564702.0,0.02182110927503067,0.014536223934726422
2024-10-03 14:00:00+00:00,2024-10-03 10:00:00,Thursday,123.34,124.36,121.78,122.36,69957331.0,0.03690521588068307,0.014654086221442597
2024-10-03 15:00:00+00:00,2024-10-03 11:00:00,Thursday,122.36,123.33,121.96,123.06,29368259.0,0.04283716791661374,0.005704522029641446
2024-10-03 16:00:00+00:00,2024-10-03 12:00:00,Thursday,123.065,123.17,121.74,121.9599,24664791.0,0.03351468158128901,-0.008979739133589959
2024-10-03 17:00:00+00:00,2024-10-03 13:00:00,Thursday,121.955,123.0,121.46,122.95,24618429.0,0.04190500402525332,0.008085466483447767
2024-10-03 18:00:00+00:00,2024-10-03 14:00:00,Thursday,122.955,123.2,122.45,122.5342,18976213.0,0.03838142451591042,-0.003387593968460223
2024-10-03 19:00:00+00:00,2024-10-03 15:00:00,Thursday,122.535,123.0,122.1125,122.84,27720366.0,0.040972840133892685,0.002492520878880633
2024-10-03 20:00:00+00:00,2024-10-03 16:00:00,Thursday,122.85,122.97,122.4,122.49,3480692.0,0.03800686411592724,-0.0028533015730278777
2024-10-04 14:00:00+00:00,2024-10-04 10:00:00,Friday,122.97,123.7,121.83,123.6802,45845662.0,0.04809287742044832,0.009669807914535866
2024-10-04 15:00:00+00:00,2024-10-04 11:00:00,Friday,123.685,124.2899,123.26,124.2885,33131442.0,0.053247743739672115,0.004906274221104567
2024-10-04 16:00:00+00:00,2024-10-04 12:00:00,Friday,124.285,124.49,123.6201,124.28,21266156.0,0.05317571289352152,-6.839161038829644e-05
2024-10-04 17:00:00+00:00,2024-10-04 13:00:00,Friday,124.275,124.49,123.76,123.9701,19153090.0,0.050549552985043045,-0.002496677028346994
2024-10-04 18:00:00+00:00,2024-10-04 14:00:00,Friday,123.975,124.7,123.91,124.615,20515073.0,0.05601457565357393,0.005188576843877968
2024-10-04 19:00:00+00:00,2024-10-04 15:00:00,Friday,124.615,125.04,124.3,124.89,32848498.0,0.0583449853819753,0.00220436553461667
2024-10-04 20:00:00+00:00,2024-10-04 16:00:00,Friday,124.9,124.96,124.581,124.611,5545273.0,0.0559806787847974,-0.0022364649142989634
