timestamp (UTC),timestamp (America/New_York),weekday (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return
2024-10-28 14:00:00+00:00,2024-10-28 10:00:00,Monday,141.32,142.08,140.93,141.34,29543251.0,0.0,
2024-10-28 15:00:00+00:00,2024-10-28 11:00:00,Monday,141.33,141.45,140.05,140.3199,25361616.0,-0.007217348238290788,-0.007243519295873746
2024-10-28 16:00:00+00:00,2024-10-28 12:00:00,Monday,140.315,140.77,140.18,140.56,15571986.0,-0.005518607612848503,0.0017096279120067948
2024-10-28 17:00:00+00:00,2024-10-28 13:00:00,Monday,140.56,141.42,140.41,141.385,16564852.0,0.0003183812084335269,0.005852221919758982
2024-10-28 18:00:00+00:00,2024-10-28 14:00:00,Monday,141.3898,141.49,140.73,140.99,13220179.0,-0.0024762982878165918,-0.002797699921330832
2024-10-28 19:00:00+00:00,2024-10-28 15:00:00,Monday,140.99,141.33,140.25,140.62,18228142.0,-0.005094099334936986,-0.0026277491062538516
2024-10-28 20:00:00+00:00,2024-10-28 16:00:00,Monday,140.5,141.5,140.27,140.47,2822966.0,-0.006155370029715557,-0.0010672739281973875
