timestamp (UTC),timestamp (America/New_York),weekday (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return
2024-09-12 14:00:00+00:00,2024-09-12 10:00:00,Thursday,118.26,120.24,117.79,118.625,78045730.0,0.0,
2024-09-12 15:00:00+00:00,2024-09-12 11:00:00,Thursday,118.64,119.7899,117.77,118.148,45907013.0,-0.004021074815595438,-0.004029181074812094
2024-09-12 16:00:00+00:00,2024-09-12 12:00:00,Thursday,118.14,119.4399,118.1,119.436,30866480.0,0.0068366701791360285,0.010842587196647102
2024-09-12 17:00:00+00:00,2024-09-12 13:00:00,Thursday,119.43,120.79,119.11,120.645,38487594.0,0.017028451001053657,0.010071685972214972
2024-09-12 18:00:00+00:00,2024-09-12 14:00:00,Thursday,120.646,120.74,119.1,120.3201,36546659.0,0.014289567966280226,-0.0026966577059361896
2024-09-12 19:00:00+00:00,2024-09-12 15:00:00,Thursday,120.325,120.49,119.02,119.18,40863947.0,0.004678609062170658,-0.009520735999372754
2024-09-12 20:00:00+00:00,2024-09-12 16:00:00,Thursday,119.14,119.26,118.1,118.71,3513866.0,0.000716543730242325,-0.003951411253390269
2024-09-13 14:00:00+00:00,2024-09-13 10:00:00,Friday,118.675,119.69,117.6,119.395,52615781.0,0.006491043203372016,0.005753779969331241
2024-09-13 15:00:00+00:00,2024-09-13 11:00:00,Friday,119.39,119.79,118.82,118.91,29206126.0,0.002402528977871521,-0.004070419585286089
2024-09-13 16:00:00+00:00,2024-09-13 12:00:00,Friday,118.9,119.3,118.3,119.2699,25485266.0,0.005436459430980145,0.0030220877069329077
2024-09-13 17:00:00+00:00,2024-09-13 13:00:00,Friday,119.27,119.33,118.76,118.806603,19889574.0,0.0015308998946259589,-0.0038920059643512417
2024-09-13 18:00:00+00:00,2024-09-13 14:00:00,Friday,118.804,119.02,118.3688,118.865,18842765.0,0.002023182297154813,0.0004914091581662561
2024-09-13 19:00:00+00:00,2024-09-13 15:00:00,Friday,118.855,119.14,118.63,119.07,28068588.0,0.0037513171759746555,0.001723160112847566
2024-09-13 20:00:00+00:00,2024-09-13 16:00:00,Friday,119.1,119.1,118.91,118.96,2514188.0,0.0028240252897786533,-0.0009242533111839535
2024-09-16 14:00:00+00:00,2024-09-16 10:00:00,Monday,116.7926,118.18,116.03,116.5699,50104196.0,-0.017324341412012556,-0.02029620907417673
2024-09-16 15:00:00+00:00,2024-09-16 11:00:00,Monday,116.55,117.03,115.77,116.184,27860775.0,-0.02057744994731303,-0.003315951772219883
2024-09-16 16:00:00+00:00,2024-09-16 12:00:00,Monday,116.19,116.45,115.7109,116.26,22082904.0,-0.019936775553213826,0.0006539209677018931
2024-09-16 17:00:00+00:00,2024-09-16 13:00:00,Monday,116.26,117.075,116.11,116.89,18375214.0,-0.014625922023182247,0.005404259346474483
2024-09-16 18:00:00+00:00,2024-09-16 14:00:00,Monday,116.89,116.89,116.1,116.3441,17662612.0,-0.019227818756585857,-0.004681142224595369
2024-09-16 19:00:00+00:00,2024-09-16 15:00:00,Monday,116.345,116.85,116.2,116.77,23245603.0,-0.015637513171759765,0.003654008692540067
2024-09-16 20:00:00+00:00,2024-09-16 16:00:00,Monday,116.78,116.8,116.45,116.5894,5332581.0,-0.017159957850368834,-0.0015478273946225585
