timestamp (UTC),timestamp (America/New_York),weekday (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return
2024-10-14 14:00:00+00:00,2024-10-14 10:00:00,Monday,139.39,139.6,138.41,138.425,46464340.0,0.0,
2024-10-14 15:00:00+00:00,2024-10-14 11:00:00,Monday,138.4202,138.68,137.43,137.7101,28454516.0,-0.005164529528625561,-0.005177911806582891
2024-10-14 16:00:00+00:00,2024-10-14 12:00:00,Monday,137.715,138.62,137.62,138.2891,18846750.0,-0.0009817590753117278,0.004195670490174663
2024-10-14 17:00:00+00:00,2024-10-14 13:00:00,Monday,138.29,138.92,138.27,138.6801,15139798.0,0.0018428752031787177,0.002823420508451413
2024-10-14 18:00:00+00:00,2024-10-14 14:00:00,Monday,138.69,139.05,138.46,138.535,16178641.0,0.0007946541448435873,-0.0010468406176356027
2024-10-14 19:00:00+00:00,2024-10-14 15:00:00,Monday,138.53,138.9,137.86,138.1401,30078470.0,-0.0020581542351455484,-0.0028546137195872845
2024-10-14 20:00:00+00:00,2024-10-14 16:00:00,Monday,138.1552,138.39,137.75,138.2904,2059473.0,-0.0009723677081452387,0.0010874343808735532
2024-10-15 14:00:00+00:00,2024-10-15 10:00:00,Tuesday,135.51,136.18,128.74,132.06,116501717.0,-0.04598157847209683,-0.04609945717829955
2024-10-15 15:00:00+00:00,2024-10-15 11:00:00,Tuesday,132.07,132.818,130.53,130.5799,52264482.0,-0.05667401119739934,-0.011271064822291343
2024-10-15 16:00:00+00:00,2024-10-15 12:00:00,Tuesday,130.58,131.7,130.01,131.4102,33492754.0,-0.05067581722954673,0.006338428664443896
2024-10-15 17:00:00+00:00,2024-10-15 13:00:00,Tuesday,131.4001,131.68,130.83,131.36,24075284.0,-0.05103846848473903,-0.0003820829044594021
2024-10-15 18:00:00+00:00,2024-10-15 14:00:00,Tuesday,131.35,132.25,131.26,131.424,26884406.0,-0.05057612425501179,0.0004870920700295045
2024-10-15 19:00:00+00:00,2024-10-15 15:00:00,Tuesday,131.43,131.98,130.645,131.61,43539825.0,-0.049232436337366736,0.0014142660720848355
2024-10-15 20:00:00+00:00,2024-10-15 16:00:00,Tuesday,131.6,132.0,130.89,131.05,5550967.0,-0.053277948347480564,-0.004264074076817614
2024-10-16 14:00:00+00:00,2024-10-16 10:00:00,Wednesday,132.11,134.78,131.69,133.0,50891161.0,-0.03919089759797734,0.014770198452338512
2024-10-16 15:00:00+00:00,2024-10-16 11:00:00,Wednesday,133.005,134.3,132.91,133.8508,29288148.0,-0.03304460899404027,0.006376618566492631
2024-10-16 16:00:00+00:00,2024-10-16 12:00:00,Wednesday,133.858,134.96,133.74,134.8901,21304323.0,-0.025536572150984482,0.0077346260378670095
2024-10-16 17:00:00+00:00,2024-10-16 13:00:00,Wednesday,134.9,136.25,134.6915,136.155,32239178.0,-0.016398771898139874,0.009333569820586973
2024-10-16 18:00:00+00:00,2024-10-16 14:00:00,Wednesday,136.155,136.62,135.68,136.45,27651853.0,-0.014267653964240679,0.0021643045076471523
2024-10-16 19:00:00+00:00,2024-10-16 15:00:00,Wednesday,136.455,136.51,135.3106,135.7099,33072028.0,-0.019614231533321314,-0.005438727926714293
2024-10-16 20:00:00+00:00,2024-10-16 16:00:00,Wednesday,135.72,135.72,134.2672,135.46,2282836.0,-0.02141954126783463,-0.0018431254408755038
