timestamp (UTC),timestamp (America/New_York),weekday (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return
2024-10-28 14:00:00+00:00,2024-10-28 10:00:00,Monday,141.32,142.08,140.93,141.34,29543251.0,0.0,
2024-10-28 15:00:00+00:00,2024-10-28 11:00:00,Monday,141.33,141.45,140.05,140.3199,25361616.0,-0.007217348238290788,-0.007243519295873746
2024-10-28 16:00:00+00:00,2024-10-28 12:00:00,Monday,140.315,140.77,140.18,140.56,15571986.0,-0.005518607612848503,0.0017096279120067948
2024-10-28 17:00:00+00:00,2024-10-28 13:00:00,Monday,140.56,141.42,140.41,141.385,16564852.0,0.0003183812084335269,0.005852221919758982
2024-10-28 18:00:00+00:00,2024-10-28 14:00:00,Monday,141.3898,141.49,140.73,140.99,13220179.0,-0.0024762982878165918,-0.002797699921330832
2024-10-28 19:00:00+00:00,2024-10-28 15:00:00,Monday,140.99,141.33,140.25,140.62,18228142.0,-0.005094099334936986,-0.0026277491062538516
2024-10-28 20:00:00+00:00,2024-10-28 16:00:00,Monday,140.5,141.5,140.27,140.47,2822966.0,-0.006155370029715557,-0.0010672739281973875
2024-10-29 14:00:00+00:00,2024-10-29 10:00:00,Tuesday,140.47,141.05,139.92,140.9188,24677311.0,-0.002980048110938105,0.003189895124191544
2024-10-29 15:00:00+00:00,2024-10-29 11:00:00,Tuesday,140.915,141.85,140.36,141.69,18498713.0,0.0024762982878165918,0.005457734609125353
2024-10-29 16:00:00+00:00,2024-10-29 12:00:00,Tuesday,141.685,142.0,141.1979,141.385,16803922.0,0.0003183812084335269,-0.0021549067775348263
2024-10-29 17:00:00+00:00,2024-10-29 13:00:00,Tuesday,141.3808,141.85,141.31,141.365,11647293.0,0.00017687844912983586,-0.00014146772791079343
2024-10-29 18:00:00+00:00,2024-10-29 14:00:00,Tuesday,141.37,141.97,141.25,141.7392,11488925.0,0.002824395075704089,0.0026435511583393634
2024-10-29 19:00:00+00:00,2024-10-29 15:00:00,Tuesday,141.73,142.2598,141.02,141.28,22202648.0,-0.0004245082779114062,-0.0032450123733793745
2024-10-29 20:00:00+00:00,2024-10-29 16:00:00,Tuesday,141.25,141.5,140.3,140.8,4631015.0,-0.003820574501202767,-0.0034032931317069526
