timestamp (UTC),timestamp (America/New_York),weekday (America/New_York),open,high,low,close,volume,pct_change_from_event,log_return
2024-09-27 14:00:00+00:00,2024-09-27 10:00:00,Friday,122.77,122.98,120.35,121.17,54895453.0,0.0,
2024-09-27 15:00:00+00:00,2024-09-27 11:00:00,Friday,121.16,121.19,119.82,120.62,39528782.0,-0.004539077329371977,-0.004549410220590744
2024-09-27 16:00:00+00:00,2024-09-27 12:00:00,Friday,120.62,121.18,120.27,120.76,22316169.0,-0.0033836758273499967,0.0011599968157973706
2024-09-27 17:00:00+00:00,2024-09-27 13:00:00,Friday,120.765,121.09,120.13,120.78,19906757.0,-0.003218618469918333,0.0001656040411166515
2024-09-27 18:00:00+00:00,2024-09-27 14:00:00,Friday,120.78,120.96,119.26,120.191,31470536.0,-0.008079557646282098,-0.0048885647899226115
2024-09-27 19:00:00+00:00,2024-09-27 15:00:00,Friday,120.195,121.97,119.93,121.4,38132585.0,0.0018981596104645782,0.010008734535565722
2024-09-27 20:00:00+00:00,2024-09-27 16:00:00,Friday,121.4,121.45,120.88,120.98,4446150.0,-0.0015680448956012505,-0.0034656359466298525
2024-09-30 14:00:00+00:00,2024-09-30 10:00:00,Monday,120.185,120.295,119.18,119.9,34428343.0,-0.010481142196913429,-0.008967180645299777
2024-09-30 15:00:00+00:00,2024-09-30 11:00:00,Monday,119.89,121.1,119.755,120.6991,26554678.0,-0.0038862754807295063,0.006642609538489275
2024-09-30 16:00:00+00:00,2024-09-30 12:00:00,Monday,120.695,121.1,120.34,120.52,17554968.0,-0.005364364116530518,-0.0014849573098567603
2024-09-30 17:00:00+00:00,2024-09-30 13:00:00,Monday,120.52,120.62,119.87,120.45,16247907.0,-0.005942064867541452,-0.0005809852012204075
2024-09-30 18:00:00+00:00,2024-09-30 14:00:00,Monday,120.4606,120.69,119.18,120.1806,25024524.0,-0.008165387472146568,-0.0022391176563276716
2024-09-30 19:00:00+00:00,2024-09-30 15:00:00,Monday,120.19,121.5,119.8101,121.49,34134965.0,0.0026409177189072874,0.010836343462098164
2024-09-30 20:00:00+00:00,2024-09-30 16:00:00,Monday,121.44,121.66,120.365285,121.18,2796390.0,8.252867871583192e-05,-0.002554911349808009
2024-10-01 14:00:00+00:00,2024-10-01 10:00:00,Tuesday,120.19,120.68,117.13,118.27,57338921.0,-0.023933316827597584,-0.024306897253817183
2024-10-01 15:00:00+00:00,2024-10-01 11:00:00,Tuesday,118.2799,118.32,116.2,117.045,41332285.0,-0.03404307997028966,-0.010411670026191366
2024-10-01 16:00:00+00:00,2024-10-01 12:00:00,Tuesday,117.03,118.09,116.3701,116.9819,33938714.0,-0.03456383593298673,-0.0005392542611906137
2024-10-01 17:00:00+00:00,2024-10-01 13:00:00,Tuesday,116.98,117.35,115.79,117.3338,34225086.0,-0.03165965172897589,0.0030036422191619394
2024-10-01 18:00:00+00:00,2024-10-01 14:00:00,Tuesday,117.335,118.06,117.24,117.7467,27960302.0,-0.028252042584798187,0.0035128428312933835
2024-10-01 19:00:00+00:00,2024-10-01 15:00:00,Tuesday,117.74,117.96,116.72,116.9499,33180657.0,-0.034827927704877415,-0.006790069062543758
2024-10-01 20:00:00+00:00,2024-10-01 16:00:00,Tuesday,116.95,117.05,116.46,116.68,4631366.0,-0.0370553767434183,-0.002310492964034516
